Key-Words
interpersonal
communication
communication skills
professionalism
analysis
design patterns
unit testing
uml
soa
middleware
cloud
database
java
j2ee
spring
framework
http
web services
soap
.net
oracle
nosql
database
unit testing
best practices
glassfish
open source
cloud
